               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.027559,             0.01986,                   0,             0.96415,             0.92114,              0.9687,             0.62589,            0.023561,            0.020025,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.025971,            0.019741,                   0,             0.94766,             0.93151,             0.96983,             0.61793,            0.023843,             0.02019,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.024764,            0.017293,                   0,             0.95717,             0.92466,             0.96965,             0.63082,            0.022954,            0.020152,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.026826,            0.018983,                   0,             0.94465,             0.93836,             0.97023,              0.6313,             0.02298,            0.020203,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.027313,            0.019078,                   0,             0.95121,             0.93481,             0.97112,             0.63528,            0.023002,            0.020142,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.027932,            0.018163,                   0,             0.95422,             0.92804,             0.96915,             0.63425,            0.023103,            0.020155,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.026016,            0.019972,                   0,             0.95138,             0.93826,             0.96952,              0.6244,            0.023326,            0.020126,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.023684,            0.015942,                   0,              0.9481,             0.93835,             0.96876,             0.62502,            0.023292,            0.020107,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.026725,             0.01809,                   0,             0.95454,             0.93488,             0.97135,             0.63454,            0.022947,            0.020072,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.028209,             0.02096,                   0,             0.95122,             0.93488,             0.96849,             0.63627,            0.022753,            0.020027,                   0,            0.000232,            0.000232,            0.000232
                   0,             0.11722,            0.016535,                   0,           0.0022386,            0.024648,           0.0010041,           0.0002132,             0.10482,            0.023169,                   0,               0.002,               0.002,               0.082
                   1,             0.10498,            0.021447,                   0,           0.0064465,            0.024648,            0.002723,          0.00065502,            0.092963,             0.03068,                   0,           0.0040729,           0.0040729,            0.063073
                   2,            0.095586,            0.025572,                   0,            0.008018,             0.03169,           0.0027914,          0.00054901,            0.087513,            0.032861,                   0,           0.0061182,           0.0061182,            0.044118
